jobTitle,jobCompany,jobLocation,jobSubClassification,jobClassification,jobSalary
"('Business Development Executive - B2B at Openrice Limited', 'Business Development Executive - B2B at Openrice Limited', 'Business Development Executive - B2B at Openrice Limited', 'Business Development Executive - B2B at Openrice Limited', 'Business Development Executive - B2B at Openrice Limited', 'Business Development Executive - B2B at Openrice Limited', 'Business Development Executive - B2B at Openrice Limited', 'Business Development Executive - B2B at Openrice Limited')","('Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire')","('Quarry Bay', 'Eastern District')",New Business Development,(Sales),
,,"('Quarry Bay', 'Eastern District')",New Business Development,(Sales),
,,,New Business Development,(Sales),
"('(Senior) Business Strategy Manager', '(Senior) Business Strategy Manager', '(Senior) Business Strategy Manager', '(Senior) Business Strategy Manager', '(Senior) Business Strategy Manager', '(Senior) Business Strategy Manager', '(Senior) Business Strategy Manager', '(Senior) Business Strategy Manager')","('Bank of China (Hong Kong) Limited', 'Bank of China (Hong Kong) Limited', 'Bank of China (Hong Kong) Limited', 'Bank of China (Hong Kong) Limited', 'Bank of China (Hong Kong) Limited', 'Bank of China (Hong Kong) Limited', 'Bank of China (Hong Kong) Limited', 'Bank of China (Hong Kong) Limited')","('Central', 'Central and Western District')",Banking - Retail/Branch,(Banking & Financial Services),
,,"('Central', 'Central and Western District')",Banking - Retail/Branch,(Banking & Financial Services),
,,,Banking - Retail/Branch,(Banking & Financial Services),
"('Project Manager', 'Project Manager', 'Project Manager', 'Project Manager', 'Project Manager', 'Project Manager', 'Project Manager', 'Project Manager')",,"('Jordan', 'Yau Tsim Mong District')",Project Management,(Construction),
,,"('Jordan', 'Yau Tsim Mong District')",Project Management,(Construction),
,,,Project Management,(Construction),
"('Project Executive / co-ordinator', 'Project Executive / co-ordinator', 'Project Executive / co-ordinator', 'Project Executive / co-ordinator', 'Project Executive / co-ordinator', 'Project Executive / co-ordinator', 'Project Executive / co-ordinator', 'Project Executive / co-ordinator')","('LMHK Group Limited', 'LMHK Group Limited', 'LMHK Group Limited', 'LMHK Group Limited', 'LMHK Group Limited', 'LMHK Group Limited', 'LMHK Group Limited', 'LMHK Group Limited')","('Lai Chi Kok', 'Sham Shui Po District')",Strategy & Planning,(Consulting & Strategy),"$17,000 – $19,999 per month"
,,"('Lai Chi Kok', 'Sham Shui Po District')",Strategy & Planning,(Consulting & Strategy),"$17,000 – $19,999 per month"
,,"('Lai Chi Kok', 'Sham Shui Po District')",Strategy & Planning,(Consulting & Strategy),"('$17,000 – $19,999 per month', '$17,000 – $19,999 per month')"
